exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,rotulo,coluna,cod_conta,conta,valor
2016,RREO,6,B,Governo do Estado de Rondônia,11,RO,1768204,RREO-Anexo 03,NA,<MR-11>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,271378604.92
2016,RREO,6,B,Governo do Estado de Rondônia,11,RO,1768204,RREO-Anexo 03,NA,<MR-10>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,266106616.43
2016,RREO,6,B,Governo do Estado de Rondônia,11,RO,1768204,RREO-Anexo 03,NA,<MR-9>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,230214045.15
2016,RREO,6,B,Governo do Estado de Rondônia,11,RO,1768204,RREO-Anexo 03,NA,<MR-8>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,247919035.1
2016,RREO,6,B,Governo do Estado de Rondônia,11,RO,1768204,RREO-Anexo 03,NA,<MR-7>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,270425391.58
2016,RREO,6,B,Governo do Estado de Rondônia,11,RO,1768204,RREO-Anexo 03,NA,<MR-6>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,245184402.97
2016,RREO,6,B,Governo do Estado de Rondônia,11,RO,1768204,RREO-Anexo 03,NA,<MR-5>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,272141232.81
2016,RREO,6,B,Governo do Estado de Rondônia,11,RO,1768204,RREO-Anexo 03,NA,<MR-4>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,297104208.65
2016,RREO,6,B,Governo do Estado de Rondônia,11,RO,1768204,RREO-Anexo 03,NA,<MR-3>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,266942357.49
2016,RREO,6,B,Governo do Estado de Rondônia,11,RO,1768204,RREO-Anexo 03,NA,<MR-2>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,246107441.41
2016,RREO,6,B,Governo do Estado de Rondônia,11,RO,1768204,RREO-Anexo 03,NA,<MR-1>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,241832162.52
2016,RREO,6,B,Governo do Estado de Rondônia,11,RO,1768204,RREO-Anexo 03,NA,<MR>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,278184699.05
2018,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-11>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,312637350.25
2018,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-10>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,231009734.62
2018,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-9>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,288623776.8
2018,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-8>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,286822574.7
2018,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-7>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,281228603.76
2018,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-6>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,311767937.65
2018,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-5>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,321932460.2
2018,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-4>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,312438151.41
2018,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-3>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,311025084.61
2018,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-2>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,341472232.46
2018,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-1>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,340327452.66
2018,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,355969250.28
2019,RREO,6,B,Governo do Estado de Rondônia,11,RO,1757589,RREO-Anexo 03,NA,<MR-11>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,336646521.53
2019,RREO,6,B,Governo do Estado de Rondônia,11,RO,1757589,RREO-Anexo 03,NA,<MR-10>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,291147251.29
2019,RREO,6,B,Governo do Estado de Rondônia,11,RO,1757589,RREO-Anexo 03,NA,<MR-9>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,268166911.23
2019,RREO,6,B,Governo do Estado de Rondônia,11,RO,1757589,RREO-Anexo 03,NA,<MR-8>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,319773711.8
2019,RREO,6,B,Governo do Estado de Rondônia,11,RO,1757589,RREO-Anexo 03,NA,<MR-7>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,345944801.78
2019,RREO,6,B,Governo do Estado de Rondônia,11,RO,1757589,RREO-Anexo 03,NA,<MR-6>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,339446040.58
2019,RREO,6,B,Governo do Estado de Rondônia,11,RO,1757589,RREO-Anexo 03,NA,<MR-5>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,363582613.32
2019,RREO,6,B,Governo do Estado de Rondônia,11,RO,1757589,RREO-Anexo 03,NA,<MR-4>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,338771125.48
2019,RREO,6,B,Governo do Estado de Rondônia,11,RO,1757589,RREO-Anexo 03,NA,<MR-3>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,387864917.19
2019,RREO,6,B,Governo do Estado de Rondônia,11,RO,1757589,RREO-Anexo 03,NA,<MR-2>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,347926489.85
2019,RREO,6,B,Governo do Estado de Rondônia,11,RO,1757589,RREO-Anexo 03,NA,<MR-1>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,342362335.22
2019,RREO,6,B,Governo do Estado de Rondônia,11,RO,1757589,RREO-Anexo 03,NA,<MR>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,403702185.19
2017,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-11>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,271887442.67
2017,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-10>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,260651710.03
2017,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-9>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,236174266.68
2017,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-8>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,241051370.91
2017,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-7>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,309300174.33
2017,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-6>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,245361429.23
2017,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-5>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,301322610.88
2017,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-4>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,317544700.4
2017,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-3>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,286068465.27
2017,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-2>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,267361737.11
2017,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR-1>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,261045489.6
2017,RREO,6,B,Governo do Estado de Rondônia,11,RO,1787279,RREO-Anexo 03,NA,<MR>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,285950084.63
2015,RREO,6,B,Governo do Estado de Rondônia,11,RO,1748531,RREO-Anexo 03,NA,<MR-11>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,277520551.29
2015,RREO,6,B,Governo do Estado de Rondônia,11,RO,1748531,RREO-Anexo 03,NA,<MR-10>,ICMSLiquidoExcetoTransferenciasEFUNDEB,ICMS,245326304.05
