cod_ibge,ente,capital,regiao,uf,esfera,exercicio,populacao,cnpj
1718659,Rio da Conceição,0  ,CO,TO,M,2020,2130,33262536000134
1718709,Rio dos Bois,0  ,CO,TO,M,2020,2834,37420932000101
1718758,Rio Sono,0  ,CO,TO,M,2020,6478,00000729000168
1718808,Sampaio,0  ,CO,TO,M,2020,4711,25086828000135
1718840,Sandolândia,0  ,CO,TO,M,2020,3375,37344355000108
1718865,Santa Fé do Araguaia,0  ,CO,TO,M,2020,7512,25063918000100
1718881,Santa Maria do Tocantins,0  ,CO,TO,M,2020,3434,37421039000192
1718899,Santa Rita do Tocantins,0  ,CO,TO,M,2020,2365,01613127000149
1718907,Santa Rosa do Tocantins,0  ,CO,TO,M,2020,4829,24851503000139
1719004,Santa Tereza do Tocantins,0  ,CO,TO,M,2020,2866,25086844000128
1720002,Santa Terezinha do Tocantins,0  ,CO,TO,M,2020,2529,01634030000112
1720101,São Bento do Tocantins,0  ,CO,TO,M,2020,5324,25063983000136
1720150,São Félix do Tocantins,0  ,CO,TO,M,2020,1585,26753145000157
1720200,São Miguel do Tocantins,0  ,CO,TO,M,2020,12139,25064007000106
1720259,São Salvador do Tocantins,0  ,CO,TO,M,2020,3082,37344371000109
1720309,São Sebastião do Tocantins,0  ,CO,TO,M,2020,4805,00766733000131
1720499,São Valério,0  ,CO,TO,M,2020,3960,25043449000168
1720655,Silvanópolis,0  ,CO,TO,M,2020,5403,00114819000180
1720804,Sítio Novo do Tocantins,0  ,CO,TO,M,2020,9029,00766717000149
1720853,Sucupira,0  ,CO,TO,M,2020,1966,37344439000141
1720903,Taguatinga,0  ,CO,TO,M,2020,16683,02306900000197
1720937,Taipas do Tocantins,0  ,CO,TO,M,2020,2148,33261694000170
1720978,Talismã,0  ,CO,TO,M,2020,2793,01612820000105
1721000,Palmas,1  ,CO,TO,M,2020,299127,24851511000185
1721109,Tocantínia,0  ,CO,TO,M,2020,7545,02070712000102
1721208,Tocantinópolis,0  ,CO,TO,M,2020,22870,01224716000135
1721257,Tupirama,0  ,CO,TO,M,2020,1891,01613619000134
1721307,Tupiratins,0  ,CO,TO,M,2020,2671,37420692000137
1722081,Wanderlândia,0  ,CO,TO,M,2020,11683,00001636000158
1722107,Xambioá,0  ,CO,TO,M,2020,11540,02087211000139
2100055,Açailândia,0  ,NE,MA,M,2020,112445,07000268000172
2100105,Afonso Cunha,0  ,NE,MA,M,2020,6524,06096655000191
2100154,Água Doce do Maranhão,0  ,NE,MA,M,2020,12571,01612339000101
2100204,Alcântara,0  ,NE,MA,M,2020,22097,06000244000150
2100303,Aldeias Altas,0  ,NE,MA,M,2020,26532,06096853000155
2100402,Altamira do Maranhão,0  ,NE,MA,M,2020,8128,06021323000148
2100436,Alto Alegre do Maranhão,0  ,NE,MA,M,2020,27053,01612326000132
2100477,Alto Alegre do Pindaré,0  ,NE,MA,M,2020,31919,01612832000121
2100501,Alto Parnaíba,0  ,NE,MA,M,2020,11190,06997571000129
2100550,Amapá do Maranhão,0  ,NE,MA,M,2020,6962,01580959000106
2100600,Amarante do Maranhão,0  ,NE,MA,M,2020,41435,06157846000116
2100709,Anajatuba,0  ,NE,MA,M,2020,26803,06002372000133
2100808,Anapurus,0  ,NE,MA,M,2020,15732,06116461000100
2100832,Apicum-Açu,0  ,NE,MA,M,2020,17239,01612531000106
2100873,Araguanã,0  ,NE,MA,M,2020,15426,01612539000164
2100907,Araioses,0  ,NE,MA,M,2020,46440,06450191000170
2100956,Arame,0  ,NE,MA,M,2020,32701,12542767000121
2101004,Arari,0  ,NE,MA,M,2020,29848,06242846000114
2101103,Axixá,0  ,NE,MA,M,2020,12130,06008569000180
2101202,Bacabal,0  ,NE,MA,M,2020,104949,06014351000138
2101251,Bacabeira,0  ,NE,MA,M,2020,17055,01611396000176
2101301,Bacuri,0  ,NE,MA,M,2020,18582,06151419000120
2101350,Bacurituba,0  ,NE,MA,M,2020,5644,01612534000131
2101400,Balsas,0  ,NE,MA,M,2020,94887,06441430000125
2101509,Barão de Grajaú,0  ,NE,MA,M,2020,18820,06477822000144
2101608,Barra do Corda,0  ,NE,MA,M,2020,88212,06769798000117
2101707,Barreirinhas,0  ,NE,MA,M,2020,62528,06217954000137
2101731,Belágua,0  ,NE,MA,M,2020,7469,01612545000111
2101772,Bela Vista do Maranhão,0  ,NE,MA,M,2020,11209,01612347000158
2101806,Benedito Leite,0  ,NE,MA,M,2020,5632,06096218000178
2101905,Bequimão,0  ,NE,MA,M,2020,21280,41611716000102
2101939,Bernardo do Mearim,0  ,NE,MA,M,2020,6043,01612345000169
2101970,Boa Vista do Gurupi,0  ,NE,MA,M,2020,9287,01612331000145
2102002,Bom Jardim,0  ,NE,MA,M,2020,41630,06229975000172
2102036,Bom Jesus das Selvas,0  ,NE,MA,M,2020,34028,01612668000152
2102077,Bom Lugar,0  ,NE,MA,M,2020,16294,01611400000104
2102101,Brejo,0  ,NE,MA,M,2020,36397,06116743000108
2102150,Brejo de Areia,0  ,NE,MA,M,2020,9188,01612318000196
2102200,Buriti,0  ,NE,MA,M,2020,28678,06117071000155
2102309,Buriti Bravo,0  ,NE,MA,M,2020,23884,06052138000110
2102325,Buriticupu,0  ,NE,MA,M,2020,72358,01612525000140
2102358,Buritirana,0  ,NE,MA,M,2020,15430,01601303000122
2102374,Cachoeira Grande,0  ,NE,MA,M,2020,9431,01612624000122
2102408,Cajapió,0  ,NE,MA,M,2020,11177,06054266000101
2102507,Cajari,0  ,NE,MA,M,2020,19379,06469837000160
2102556,Campestre do Maranhão,0  ,NE,MA,M,2020,14374,01598550000117
2102606,Cândido Mendes,0  ,NE,MA,M,2020,20178,06059505000108
2102705,Cantanhede,0  ,NE,MA,M,2020,21995,06156160000100
2102754,Capinzal do Norte,0  ,NE,MA,M,2020,10934,01613309000110
2102804,Carolina,0  ,NE,MA,M,2020,24322,12081691000184
2102903,Carutapera,0  ,NE,MA,M,2020,23807,06903553000130
2103000,Caxias,0  ,NE,MA,M,2020,164880,06082820000156
2103109,Cedral,0  ,NE,MA,M,2020,10675,06235006000124
2103125,Central do Maranhão,0  ,NE,MA,M,2020,8673,01612342000125
2103158,Centro do Guilherme,0  ,NE,MA,M,2020,13458,01612328000121
2103174,Centro Novo do Maranhão,0  ,NE,MA,M,2020,21622,01612323000107
2103208,Chapadinha,0  ,NE,MA,M,2020,79675,06117709000158
2103257,Cidelândia,0  ,NE,MA,M,2020,14697,01610134000197
2103307,Codó,0  ,NE,MA,M,2020,122859,06104863000195
